Name,Department,Rating,Would Take Again,Difficulty Level
B. R. Badrinath,Computer Science,3.6,60%,3.1
Endre Szemeredi,Computer Science,3.4,N/A,2.3
Jeffery Rubin,Economics,3.1,N/A,3.3
Dorothy Hodgson,Anthropology,2.9,N/A,2.7
George Atwood,Psychology,4.3,100%,1.9
Leonard Hamilton,Psychology,3.4,N/A,3.3
Donna Toma,Psychology,3.5,100%,2.3
George Clark,Humanities,4.8,100%,1.9
Kate Goelz,Computer Science,2.4,N/A,2.5
Tim Smith,Music,2.6,100%,2.3
Roe Goodman,Mathematics,4.7,N/A,2.5
Steve Schnetzer,Science,3.8,50%,3
Robert Harnack,Science,1.9,N/A,3.7
Diana Martin,Science,2.8,N/A,3.7
Carolyn Williams,English,4.0,100%,3
Asbed Vassilian,Chem & Chemical Biology,3.0,29%,3.9
Warren Shapiro,Anthropology,1.7,N/A,3.5
Joan Ehrenfeld,Science,3.0,N/A,3.5
Majid Sani,Economics,2.7,32%,3.1
Margret Jones,Mathematics,2.7,N/A,3.1
Roberto Chang,Economics,2.6,0%,3
Gary Schwartz,Not Specified,5.0,N/A,2.8
Trefor Williams,Engineering,3.9,N/A,1.4
Qizhong Guo,Engineering,3.3,N/A,3
Bill Gillette,History,3.1,100%,3.6
Lawrence Pervin,Psychology,2.0,N/A,4.4
Thomas Myladil,Theology,3.4,0%,2.6
Michael Leyton,Psychology,4.0,N/A,1.9
Michael Adas,History,4.2,N/A,2.8
Kook Pae,Engineering,2.0,N/A,4.3
Reese Jenkins,History,3.9,N/A,3.6
Wallis Reid,Education,2.6,N/A,4.3
Ira Gang,Economics,2.6,100%,3.3
Barry Loewer,Philosophy,3.4,100%,2.7
Peter Kivy,Philosophy,3.3,N/A,3.3
Terry McGuire,Science,3.3,N/A,2.9
Frank Deis,Science,3.2,50%,3.6
Robert Niederman,Science,2.3,N/A,4.2
Cheryl Clarke,English,3.5,N/A,2.8
Louise Barnett,English,3.0,N/A,2.4
Thu Nguyen,Computer Science,3.4,25%,4
C.R. Narvaez,Languages,4.4,0%,2.7
Stephanie Duckworth,Social Science,1.3,N/A,4
Karen Rhines,Psychology,4.5,N/A,2.1
Daniel Keleman,Political Science,4.5,N/A,3.3
Vladimir Retakh,Mathematics,3.9,84%,2.7
Louis Petrone,Science,1.7,N/A,4.4
Gordon Schochet,Political Science,3.4,100%,2.5
Rob Doran,Mathematics,4.0,60%,1.9
Elliot Collins,Mathematics,2.6,34%,2.7
Gary Brill,Psychology,4.1,100%,2.7
Belinda Davis,History,3.0,67%,2.6
Benjamin Zablocki,Social Science,4.1,N/A,1.7
Lisa Kruger,Education,3.8,N/A,1.7
Joel Shapiro,Science,1.9,N/A,4.3
Robert Trivers,Anthropology,3.9,N/A,2.3
Ronald Ransome,Science,3.7,N/A,2.9
Michael Carr,Science,4.0,N/A,1.6
Irwin Kabus,Mathematics,4.0,N/A,2.6
Tim Grimm,Humanities,5.0,100%,1.4
Martin Perry,Economics,3.6,N/A,2.6
Ana Pairet,French,3.7,0%,3.1
Arif Rana,Languages,4.8,N/A,1.9
Deborah Bryant,Psychology,2.9,N/A,3.1
Ramesh Agarwal,Science,2.1,N/A,3.8
Mark Wasserman,History,3.8,N/A,2.4
Vishnya Maudlin,Philosophy,2.7,50%,3.8
James Deangelo,German,4.2,0%,1.4
Bruce Wilshire,Philosophy,3.0,N/A,2.3
Ted Williams,Science,3.2,N/A,3.3
Richard Williams,Social Science,2.6,0%,3.6
Harumi Baxer,Japanese,4.1,N/A,2.3
George Popel,Mathematics,4.0,20%,2
David Tyler,Mathematics,2.8,100%,3
Enock Aloo,English,3.3,N/A,3.6
Samantha Kelly,History,4.5,60%,2.8
Matthew Phillips,Philosophy,2.9,0%,4.1
Gilbert Papali,Mathematics,4.0,50%,2.3
C. Lugg,Education,4.4,100%,3.9
Spencer Knapp,Science,2.8,N/A,4.3
Randy Fisher,Mathematics,2.8,100%,3.4
Hiroshi Obayashi,Religion,3.0,N/A,3.2
Larry Katz,Science,4.7,100%,2.1
Michael Sklar,Business,2.5,N/A,3.6
Eviatar Zerubavel,Social Science,3.2,75%,3.4
James Reed,History,3.9,N/A,2.9
Barbara Lewis,Political Science,2.1,N/A,2.3
Judith Hudson,Psychology,2.9,100%,2.9
Allan Horwitz,Social Science,4.4,50%,1.7
Louisa Schein,Anthropology,2.4,N/A,3.5
William Vesterman,English,3.4,N/A,4
Carol Schwartz,Computer Science,2.9,N/A,2.1
Michael Rockland,American Studies,3.6,20%,2.3
Gary Gigliotti,Economics,3.5,N/A,2.2
. French,Science,3.5,N/A,2.5
Chris Groff,Communication,2.4,N/A,3.1
David Feigley,Science,3.7,84%,3
Keith Arnesen,Meteorology,3.3,N/A,2.9
Phyllis Mack,History,3.8,100%,2.3
David R. Smith,Social Science,3.5,N/A,2.8
William Irvine,Mathematics,3.4,100%,2.7
Joel Flagler,Not Specified,4.0,N/A,1.4
David Carlson,Science,3.4,0%,2.8
Jerome Rose,Law,1.5,100%,4.8
Robert Kusch,English,4.8,N/A,2.2
Harriet Davidson,English,4.0,50%,2.5
Robert Urbanski,Mathematics,2.1,N/A,3.3
Indra Chatterjee,History,3.5,N/A,3.7
Deborah Silver,Engineering,1.9,N/A,3.6
Peter Meer,Engineering,1.8,N/A,3.7
Christopher Arneson,Music,5.0,N/A,2.9
Steve Ferry,Mathematics,3.3,N/A,2.6
Enriqueta Carrington,Mathematics,3.8,N/A,2.7
Sina Queyras,English,3.5,N/A,3.4
Laurence Jaffe,Business,5.0,N/A,1.7
. Lipman,Business,3.5,100%,3.2
Michael Bushnell,Engineering,1.7,0%,3.8
Paul Sprachman,Languages,4.0,N/A,3
She-E Wu,Music,3.8,0%,4.4
Toby MacLennan,Fine Arts,3.9,N/A,2.8
Marija Dalbello,Information Science,2.9,100%,2.3
Nina Wacholder,Information Science,1.7,0%,3.5
Mychel Namphy,English,4.3,N/A,3
Marcia Ian,Literature,2.1,100%,4
Barnett Hoffman,Criminal Justice,4.4,N/A,2.6
Gregory Clare,Economics,2.9,0%,3.5
Dean Zimmerman,Philosophy,4.4,100%,2.4
Julio Nazario,Not Specified,4.1,0%,1.3
Martha Haviland,Genetics,4.9,86%,2.9
Tom Stephens,Languages,3.9,N/A,2.9
Yvonne Harris,English,3.2,N/A,3.4
Rudolph Bell,History,3.1,0%,3.4
Matt Matsuda,History,3.1,N/A,3.6
Bernard Kear,Engineering,4.0,N/A,1.8
Melike Gursoy,Engineering,2.2,50%,4.3
Ricardo Bianchini,Computer Science,4.3,N/A,3.8
Terry Matilsky,Science,2.5,100%,4
Ana Paula Serra,Languages,4.7,100%,2.6
Eugenia Etkina,Education,4.8,N/A,4.1
Adria R. Sherman,Health Science,3.7,N/A,3.1
Barbara Reed,Journalism & Media Studies,2.9,N/A,4
Alexander Borgida,Computer Science,2.6,40%,3.5
Yeon-Soo Kim,Languages,3.9,100%,3.1
Stephen Bronner,Political Science,3.8,75%,2.9
Rob Nelson,History,4.5,N/A,2.6
Linda Steiner,Journalism & Media Studies,3.0,100%,2.8
Haym Benaroya,Engineering,4.9,100%,2.9
Douglas Blair,Economics,3.0,50%,3.7
Greg Schiano,Physical Ed,2.8,N/A,2.8
Paul Reck,Sociology,4.7,N/A,2.3
Randy` James,Fine Arts,4.6,N/A,1.4
Richard Simmons,Languages,4.2,N/A,2.6
Alison Isenberg,History,3.1,N/A,2.5
Peter Parks,Economics,4.9,N/A,3
George McGhee,Geology,4.3,100%,2.3
Allen Howard,History,3.1,N/A,3.3
Briavel Holcomb,Social Science,4.3,N/A,1.7
Augusta Rainsford,Mathematics,2.9,19%,2.9
Ruth Chang,Philosophy,4.5,N/A,3.5
Lee Jussim,Psychology,3.6,0%,2.8
J McGowan,Psychology,4.3,100%,2.5
R Contrada,Psychology,3.6,72%,2.9
Chris Caldiero,Communication,4.6,N/A,1.8
Susan Albin,Engineering,3.5,100%,3.3
Arnisa Abazi,Economics,3.6,N/A,2.3
Marianne Dekoven,English,3.9,100%,1.9
James Jones,Theology,3.5,100%,3.9
Joseph Naus,Mathematics,2.1,25%,3.8
Carol Smith,English,4.1,N/A,2
Sherry Gorelick,Sociology,3.4,N/A,4.3
Thomas Jeffrey,History,4.8,100%,1.9
Judith Evans,Mathematics,2.3,0%,3.5
Abena Busia,English,2.1,0%,1.9
Deborah Carr,Sociology,4.6,N/A,1.7
Elizabeth Mitchell,Sociology,4.3,N/A,2.5
Neil Dougherty,Health Science,2.5,N/A,3.8
Edward Rhodes,Political Science,4.6,N/A,2.5
Husam Najm,Engineering,5.0,100%,3.2
Howard Wineberg,Sociology,2.8,0%,2.2
Paul Hammond,Languages,2.6,N/A,3.8
Brian Benfer,Fine Arts,4.5,N/A,3
Yair Rosenthal,Science,3.5,67%,2.7
Caroline Marrone,English,4.1,100%,2.1
Pradip Hari,Computer Science,4.2,N/A,3.5
Stephanie Keer,Psychology,3.9,N/A,2.9
Jennifer Schubert,English,4.3,N/A,3.4
Frank Arntzenius,Philosophy,4.0,N/A,2.7
Martha Bolton,Philosophy,4.2,0%,2.4
Robert Bolton,Philosophy,3.3,N/A,2
Martin Bunzl,Philosophy,3.4,100%,2.8
Frances Egan,Philosophy,4.3,50%,3.2
Jerry Fodor,Philosophy,0.0,N/A,0
Douglas Husak,Philosophy,4.5,100%,2.9
Peter Klein,Philosophy,3.9,N/A,3.3
Robert Matthews,Philosophy,3.1,N/A,3.7
Tim Maudlin,Philosophy,4.3,N/A,3.8
Howard McGary,Philosophy,3.3,0%,3
Brian McLaughlin,Philosophy,4.3,N/A,3.8
Richard Koszarski,English,2.5,0%,2.6
Jackie Miller,English,3.2,50%,2.7
Colin Jager,English,3.7,67%,3.1
Edlie Wong,English,4.7,N/A,1.7
Alexius Meinong,Philosophy,3.8,N/A,3.4
Michael Gordon,Business,3.7,100%,3.1
Paul Herman,English,4.4,100%,2.8
Douglas Eveleigh,Biology,3.2,N/A,3
Nichole Shippen,Political Science,4.0,100%,3.3
Paul Panayatatos,Engineering,1.9,N/A,4.6
Barbara Tangel,Science,2.7,17%,3.2
Michael Bordo,Economics,3.6,100%,3.2
Laura Ahearn,Anthropology,4.8,N/A,2.1
Amy Cohen,Mathematics,3.3,N/A,3.8
Leslie Fishbein,American Studies,4.0,100%,3.8
Aaron Keck,Political Science,4.2,N/A,2.6
Paul Schalow,East Asian Studies,3.9,54%,2.1
Kamal Khan,Science,3.5,93%,3
Thomas Figuiera,Classics,4.2,50%,2.7
Manish Parashar,Engineering,3.1,N/A,3
Tim Otto,Psychology,4.0,89%,3.5
Richard Lehne,Political Science,2.8,N/A,2.9
Ann St. John,Biology,2.9,N/A,3.5
Alison Shonkwiler,Writing,4.9,N/A,2.7
Donna Cantor,English,4.7,82%,1.9
Ana Ramos-Zayas,Anthropology,3.4,N/A,4
Douglas McDowell,Sociology,3.6,N/A,2.5
Marlene Ciklamini,German,3.8,100%,2.6
Eric Davis,Political Science,2.8,40%,3.8
Suzanne Brahmia,Physics,4.5,100%,2.3
Montague Kern,Journalism & Media Studies,2.6,N/A,2.9
Lennox Hinds,Criminal Justice,4.3,N/A,3.8
Ronald Tyson,Writing,2.6,N/A,3.7
Seymour Feldman,Philosophy,3.4,N/A,4
Marshall Jones,Theater,3.8,58%,2
Alan Leslie,Psychology,4.5,67%,2.2
Jeannette Haviland-Jones,Psychology,4.6,N/A,1.2
Sarah Brett-Smith,Art History,3.9,0%,3.5
Temma Kaplan,History,2.9,N/A,3.1
J. Penny Small,Fine Arts,2.5,N/A,3.1
Kevin Kittle,Theater,4.8,N/A,3.4
Irwin Gertzog,Political Science,3.9,100%,2.5
Richard Heffner,Journalism & Media Studies,3.6,N/A,3.6
John Ackroff,Psychology,2.8,50%,3.3
Jochen Hellbeck,History,4.1,100%,2.7
Manus Midlarsky,Political Science,2.1,0%,3.5
Laurie Karmel,Nursing,3.4,N/A,3.7
Richard Klein,Mathematics,3.8,50%,3.4
Erica Romaine,Literature,2.5,N/A,3.1
Stephen Greenfield,Mathematics,4.2,N/A,3.1
Denise Budd,Art History,4.1,0%,3.1
Liz Fuerst,Journalism & Media Studies,3.6,0%,3.4
Dietrech Tschanz,Languages,4.0,100%,1.9
Glenn Gregory,Chemistry,2.1,50%,4.2
Bert Levine,Law,3.7,100%,2.4
Carole Allamand,French,5.0,100%,2.7
Dennis Kent,Geology,4.3,100%,2.1
Parviz Morewedge,Philosophy,3.0,N/A,2.7
Barbara Cooper,History,3.4,50%,2.7
Donna Mugavero,Business,4.6,100%,1.9
Nia Tuckson,English,3.3,100%,3.9
Lily Levy,Languages,4.8,N/A,2.4
Beth Leech,Political Science,4.2,N/A,2.4
Bonnie Smith,History,3.7,N/A,3.1
Walter Okomo,Mathematics,3.4,N/A,2.5
Kynan Johns,Music,4.3,N/A,2.9
John Colaizzi,Medicine,4.7,90%,2.2
Vincent Vatter,Mathematics,4.1,N/A,2.1
Meghan Schramm,Education,4.7,N/A,1.4
Mary Shaw,French,4.5,N/A,2.3
Lorraine Piroux,Languages,4.1,50%,3.1
Megma Ghandi,Biology,2.4,N/A,4.3
Matthew Stone,Computer Science,2.2,0%,3.2
Dayci Chivukula,Languages,4.5,N/A,2.2
David Mislan,Political Science,4.3,100%,2.5
Karl Morrison,History,3.9,N/A,3.8
Robert Sidie,Computer Science,2.4,N/A,3.3
Robert Wilson,Mathematics,4.8,N/A,2.5
David Shreiber,Engineering,3.9,100%,2.6
Mark Aakhus,Communication,4.0,N/A,2.9
Corey Liberman,Communication,4.5,0%,2.7
Derek Schilling,Languages,4.6,N/A,3
J Jt,Computer Science,3.6,50%,2.6
Edwin Bryant,Religion,4.4,58%,2.8
Andrej Ruszczynski,Business,3.0,N/A,3.4
Deirdre Kramer,Psychology,2.6,N/A,2.8
Frank Popper,Planning & Public Policy,4.2,100%,2.7
John Douard,Philosophy,3.0,50%,3.8
Harold Rubenstein,Political Science,3.5,84%,2.9
Tom Cafferty,Journalism & Media Studies,4.8,N/A,2.4
Cornelius Collins,English,3.2,N/A,3.4
JP Advis,Biology,3.4,23%,3.8
Marc Weiner,Political Science,4.5,100%,2.6
Steven Walker,Literature,3.5,N/A,2.2
Lara Tupper,Writing,4.7,N/A,2.2
Michael Kiessling,Mathematics,1.8,100%,4.6
Robert Tate,Science,3.7,N/A,2.4
William Ward,Chemistry,1.7,N/A,3.8
Carolyn Brown,History,1.7,0%,4.4
Robert Bartynski,Physics,4.6,100%,2.9
Sandra Howell-White,Social Science,3.8,N/A,2.5
Hartmut Mokros,Communication,3.1,67%,2.8
Sagun Chanillo,Mathematics,2.6,43%,3.8
James Mastrangelo,Political Science,3.3,N/A,3
Earl Taft,Mathematics,1.7,N/A,3
David Robinson,Geography,3.3,60%,3.1
Robert Hordon,Geography,2.4,N/A,3.5
Gediminas Mainelis,Science,3.9,N/A,2.8
George Pieczenik,Bioinformatics & Molecular Bio,4.4,100%,3.4
Alla Gaydukova,History,3.8,100%,2.7
Yolanda Martinez-San Miguel,Languages,4.6,100%,3
Clark Chinn,Education,4.6,N/A,2.4
Ted Petrie,Mathematics,1.4,N/A,4.1
Philip Streich,Political Science,4.2,N/A,2.7
. Kaufman,Political Science,3.8,100%,2.1
Tim Espar,Journalism & Media Studies,4.6,N/A,2.3
Ann Fabian,American Studies,4.7,N/A,3.4
Robert Manganaro,Education,4.4,N/A,4
Al Nigrin,Film,4.2,100%,2.4
Vera Eliasova,English,2.8,N/A,2.4
Jerry Sellwood,Physics,2.9,N/A,2.2
Michael LaSala,Social Work,3.6,0%,3.5
Roger Schwarzschild,Linguistics,3.2,N/A,3.3
Mohamed Alsiadi,Arabic,4.5,N/A,2.4
Greg Mountain,Geology,3.9,0%,3.1
Joe Potenza,Chemistry,4.2,100%,2.8
Sumit Guha,History,2.9,N/A,3.5
Matthew Riedel,Music,3.3,N/A,2.2
Mike Muller,Engineering,4.8,100%,3.6
Julie Livingston,History,4.9,N/A,2.6
Willem Kloet,Physics,4.6,67%,2.5
William Steiger,Computer Science,3.6,20%,3.3
Gretchen Chapman,Psychology,3.1,100%,3.7
David Ehrenfeld,Ecology & Evolutionary Biology,4.6,N/A,3
Virginia Yans,History,2.5,N/A,2.3
Meredith Cohen,History,1.9,N/A,3.9
Thorne McCarty,Computer Science,2.4,N/A,4
Sharon McGrady,English,4.0,N/A,3
Thomas Tsakalakos,Engineering,3.9,58%,2.8
